,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
A1BG,5.33743043315219,-0.1817198911759047,0.9453051410616645,-0.19223410863059157,0.8475588292938981,0.9999963907630119,False
A1BG-AS1,26.023645835451465,-0.06991326836606435,0.4312370907600987,-0.16212257680069955,0.8712093276678499,0.9999963907630119,False
A2M,99.03529999524535,0.24421982579268872,0.25331538869311393,0.9640939188600016,0.3349988412433469,0.9999963907630119,False
A2M-AS1,8.700107554258869,-0.35693794924669225,0.8220794830693591,-0.43418909801034083,0.6641511291415474,0.9999963907630119,False
A4GALT,1339.1628002352409,-0.011156304507351127,0.14767699073321106,-0.07554531313213027,0.9397808458499586,0.9999963907630119,False
AAAS,724.6154542897428,0.015049887006791699,0.1506379588924759,0.09990766681546835,0.9204176295698905,0.9999963907630119,False
AACS,531.4211134163403,-0.06500186847070828,0.14930337088349027,-0.4353677220150164,0.6632955356187513,0.9999963907630119,False
AACSP1,122.61392442825458,0.18331687399102883,0.21677874466045693,0.8456404444917336,0.397753355990208,0.9999963907630119,False
AADAT,26.351162588902227,-0.6560588503976033,0.4721277992304797,-1.3895789476216238,0.16465677221322594,0.9999963907630119,False
AAGAB,711.8242358350276,0.0664767100938438,0.12708687137722274,0.5230808609374434,0.6009179836791912,0.9999963907630119,False
AAK1,2404.7282160673453,-0.049964370035562755,0.1450627420666498,-0.344432824884879,0.7305208066194682,0.9999963907630119,False
AAMDC,30.366995718638844,-0.10318042083051647,0.40506028958360074,-0.25472855148695334,0.7989327625976583,0.9999963907630119,False
AAMP,1444.6790695546372,0.022433604376468807,0.11090195008681354,0.20228322729138562,0.8396953116197748,0.9999963907630119,False
AANAT,5.054171250526838,0.8092986956303384,0.9811164121909483,0.8248753008046,0.40944239019772477,0.9999963907630119,False
AAR2,732.5174130281192,-0.03281609788652547,0.13573571802341444,-0.24176464650862703,0.808962534347194,0.9999963907630119,False
AARD,9.252137147779171,0.2626122899327122,0.9057637531327101,0.28993464247650785,0.771866238486135,0.9999963907630119,False
AARS,4186.007085609087,0.09175472969948407,0.1144025855488435,0.8020337063126073,0.4225334609017529,0.9999963907630119,False
AARS2,1167.2150400882717,0.04922394288674623,0.11945237113308468,0.41208008195923285,0.680280727278717,0.9999963907630119,False
AARSD1,71.05417882405787,0.08802070230725981,0.2776098860703202,0.3170661663142776,0.7511933967256221,0.9999963907630119,False
AASDH,247.39170655863686,0.2556226692496568,0.19514273985113934,1.309926618047145,0.190220661422963,0.9999963907630119,False
AASDHPPT,968.9744466095252,0.050822393655609074,0.11659141522791776,0.43590167900663473,0.6629080668932078,0.9999963907630119,False
AASS,12.314173689863921,-0.9025486333724964,0.6739469045402496,-1.3391984254133393,0.18050608491002995,0.9999963907630119,False
AATBC,19.42125160166248,-0.3472487525646825,0.49238990067668037,-0.7052312650756369,0.4806663274467087,0.9999963907630119,False
AATF,1845.4635839438342,0.025666676555532775,0.12053654957038938,0.21293687804249184,0.8313761974267203,0.9999963907630119,False
AATK,75.58134090758267,0.24889249549156792,0.31292639476718237,0.7953707314358837,0.4263978801956593,0.9999963907630119,False
ABALON,10.030783614639333,0.2633709605788937,0.7596985562539003,0.34667824285146065,0.7288330573815806,0.9999963907630119,False
ABAT,67.11640669557448,-0.11763640439446756,0.3486018502778961,-0.3374520367596757,0.7357761629222883,0.9999963907630119,False
ABCA1,2894.684556261325,-0.040197599794061595,0.5268279333653743,-0.07630119294791285,0.9391794767775626,0.9999963907630119,False
ABCA10,13.744960054946006,-0.9678854223147179,0.6525758502563197,-1.483176893436296,0.13802741862485784,0.9999963907630119,False
ABCA11P,38.57321468042919,-0.023941909699859636,0.36890303526305807,-0.06490027842353505,0.9482533989132796,0.9999963907630119,False
ABCA12,12.811286109181609,-0.06113143916212661,0.635053009556954,-0.09626194702198967,0.9233125325697689,0.9999963907630119,False
ABCA13,33.53089924435523,-0.21722894509773383,0.411501881637045,-0.5278929569739738,0.5975736333313453,0.9999963907630119,False
ABCA17P,30.159023392898103,0.35741565289673444,0.42543317274281883,0.8401217295596222,0.4008401377531695,0.9999963907630119,False
ABCA2,3081.167667586044,-0.0637235764367729,0.11954177890544652,-0.5330653184204,0.5939883656716751,0.9999963907630119,False
ABCA3,267.2383727882513,-0.028248751227866648,0.19150372719355063,-0.1475101902289137,0.8827293370758728,0.9999963907630119,False
ABCA5,395.6061358729822,-0.024926776403594843,0.21723233925280033,-0.11474707904602888,0.9086455966702942,0.9999963907630119,False
ABCA6,24.739921533853856,0.20734070817208083,0.43780960349109593,0.47358647804603876,0.6357948198811814,0.9999963907630119,False
ABCA7,269.95474550676573,-0.025780986223136293,0.1696848333616865,-0.15193453482188135,0.8792385696319672,0.9999963907630119,False
ABCA9,4.4436227826535415,-0.623929667218527,1.128781037440409,-0.5527464109720799,0.5804370684048079,0.9999963907630119,False
ABCB1,33.996382340120995,-0.2940253122163824,0.40834629940627154,-0.7200391252324072,0.47150090639358255,0.9999963907630119,False
ABCB10,1554.3703473924797,-0.05544861863460453,0.10606663553052915,-0.5227715422221039,0.6011332454712445,0.9999963907630119,False
ABCB11,12.83115797914288,0.43586862905039786,0.6426868912906512,0.678197478363191,0.4976464911799976,0.9999963907630119,False
ABCB4,187.81344871968852,-0.026915324124018716,0.20022569448741193,-0.13442492579647847,0.8930665725721142,0.9999963907630119,False
ABCB6,5.92047093771341,-0.2711758633478083,0.9641976910402478,-0.2812450868402762,0.7785224253344305,0.9999963907630119,False
ABCB7,797.4042770755995,0.09402948745766714,0.12647275368363645,0.7434762406840284,0.45719340091368466,0.9999963907630119,False
ABCB8,416.32198355245987,-0.04229995635322872,0.15798784378915115,-0.26774184227542075,0.7888980397596982,0.9999963907630119,False
ABCB9,66.97949440215514,0.12313616238683556,0.27839644002693514,0.4423050897307523,0.6582684483550321,0.9999963907630119,False
ABCC1,1445.360718449025,-0.05651328127412841,0.130491599145993,-0.43307984302423774,0.6649567659765026,0.9999963907630119,False
ABCC10,741.0382609896837,-0.054856872630652524,0.17557115643644644,-0.3124480908144483,0.7547000071562586,0.9999963907630119,False
ABCC11,3.2336976602423397,1.9553430862823633,1.3583364137072662,1.4395131180689655,0.15000519596502135,0.9999963907630119,False
ABCC13,10.86906359111074,0.05524902170710447,0.7542075177016556,0.07325440334441151,0.9416036750257636,0.9999963907630119,False
ABCC2,20.176485532104,-0.5507422658633219,0.5254885179702597,-1.0480576587869261,0.294612042558413,0.9999963907630119,False
ABCC3,182.27459164909683,-0.09677688218636475,0.2309185756712118,-0.41909526726060503,0.6751465093917034,0.9999963907630119,False
ABCC4,646.7077931410544,-0.1158737008122912,0.12742198229695392,-0.9093697863077523,0.36315496471225306,0.9999963907630119,False
ABCC5,273.03115912680397,-0.22514442204457935,0.1795098825436384,-1.254217421650016,0.20976298923508574,0.9999963907630119,False
ABCC6,170.20701719364507,-0.10217203050722773,0.20499525250475267,-0.49841169128957724,0.618193898031246,0.9999963907630119,False
ABCC6P1,9.809401342687671,0.2033880492276976,0.7530725364290191,0.2700776344761418,0.7871005280615434,0.9999963907630119,False
ABCC6P2,5.447281402062398,0.3100615439547258,0.9676623109538481,0.32042329275911413,0.7486474705398606,0.9999963907630119,False
ABCD1,1546.853339482405,0.17902643265694806,0.11583763682453815,1.5454945177112285,0.1222266939518915,0.9999963907630119,False
ABCD2,15.915146150700828,0.050701835816500576,0.6025535509712429,0.08414494568121854,0.9329411898446254,0.9999963907630119,False
ABCD3,1237.3725777660338,-0.08098169945315557,0.11083766169789529,-0.7306334165897812,0.46500309518490257,0.9999963907630119,False
ABCD4,403.46991053630717,0.05590763366149615,0.14600396318649791,0.3829186033127239,0.7017801172975514,0.9999963907630119,False
ABCE1,3436.3742086392353,-0.03840151591175002,0.10232408160938576,-0.3752930425346482,0.7074425399135202,0.9999963907630119,False
ABCF1,2013.7256494345054,0.054989568088058,0.11638231017415533,0.4724907763539941,0.6365765238315566,0.9999963907630119,False
ABCF2,542.9995214646773,0.08314683729958033,0.13738786460155278,0.6051978283578373,0.5450475585915094,0.9999963907630119,False
ABCF3,926.3382074440304,0.03824240664297549,0.13815396714144354,0.27681005065762965,0.7819259633169978,0.9999963907630119,False
ABCG1,17.43930842934553,0.6631146684560728,0.6047213174996862,1.0965624152259474,0.27283272495323785,0.9999963907630119,False
ABCG2,7.507815665141681,0.6657419142100276,0.8236129280782845,0.8083189220492042,0.41890701242932127,0.9999963907630119,False
ABCG8,6.443090554043799,-0.550703212152093,0.8980161488067848,-0.6132442193649026,0.5397148702421619,0.9999963907630119,False
ABHD1,15.788989068449753,-0.17868397858295526,0.5686562968989087,-0.3142214014992615,0.7533528892305787,0.9999963907630119,False
ABHD10,449.69585630727624,-0.03333325626468808,0.1617017523548476,-0.20614035271268843,0.8366812787005132,0.9999963907630119,False
ABHD11,309.1200199030455,-0.0351545088873901,0.1819659612765307,-0.19319277430115825,0.846807997413025,0.9999963907630119,False
ABHD11-AS1,3.0921988731788006,0.5002116807142144,1.229776621571276,0.4067500324368647,0.6841915894228103,0.9999963907630119,False
ABHD12,1367.2692503006836,0.07702055642999148,0.11672153024784034,0.6598658899215089,0.5093398952911383,0.9999963907630119,False
ABHD12B,14.875073309939841,-0.003129720521910699,0.5728010717039762,-0.0054638873363144465,0.9956404703440127,0.9999963907630119,False
ABHD13,385.4689932005562,0.1048548450825932,0.15693133432744702,0.6681574813083984,0.5040330730833096,0.9999963907630119,False
ABHD14A,84.60915477314454,-0.20900659159821372,0.2857132258248655,-0.7315257842712858,0.46445806117976096,0.9999963907630119,False
ABHD14B,450.1201324955285,-0.01005250204957694,0.18762736359247786,-0.05357695091538318,0.9572722206351552,0.9999963907630119,False
ABHD15,401.7442252787993,0.07337615008389045,0.1410260026985373,0.5203022753239498,0.6028529102796792,0.9999963907630119,False
ABHD16A,53.430429452198176,-0.013269941371640455,0.32651816255757304,-0.04064074496713684,0.9675823011876619,0.9999963907630119,False
ABHD17A,1598.2597392922241,0.025544795498710995,0.15615519582217607,0.16358594643114208,0.8700571087837948,0.9999963907630119,False
ABHD17AP1,15.882504003368565,-0.081904681592295,0.5533208572371164,-0.148023846419359,0.8823239488289798,0.9999963907630119,False
ABHD17AP5,88.11913600115804,0.21308188564067526,0.26762929136103253,0.7961829759255586,0.42592569105486144,0.9999963907630119,False
ABHD17AP6,56.94461538459459,-0.17337791295590654,0.3086965046181361,-0.5616452093306938,0.5743577715613863,0.9999963907630119,False
ABHD17B,416.277203149152,-0.05484407512169353,0.1562115160033543,-0.3510885530393026,0.7255219153741487,0.9999963907630119,False
ABHD17C,279.94766097612927,0.0003091745113378547,0.18041473784944367,0.0017136876677772367,0.9986326757370849,0.9999963907630119,False
ABHD18,344.53295215388334,0.06485615928030444,0.152306841944152,0.42582564546959717,0.6702348982745665,0.9999963907630119,False
ABHD2,1510.2618717385812,-0.01622500009743161,0.11362013343076073,-0.1428003964395888,0.8864478239772218,0.9999963907630119,False
ABHD3,494.362607230076,0.14244712984260413,0.1333770416782163,1.0680033688726596,0.28551899215659415,0.9999963907630119,False
ABHD4,19.18471699490158,-0.7125209435773217,0.5105263599326806,-1.3956594595258054,0.1628170679013824,0.9999963907630119,False
ABHD5,369.9549896003039,-0.013067940441464539,0.17253277889440227,-0.07574178382336667,0.9396245327669,0.9999963907630119,False
ABHD6,82.62041517805207,0.4227193907261453,0.25478836505716435,1.6591000559672493,0.0970956320120422,0.9999963907630119,False
ABHD8,473.2892174480178,-0.027707764066046754,0.14850985384758453,-0.18657188966385485,0.8519963085066963,0.9999963907630119,False
ABI1,586.9233755133727,-0.029512728848933162,0.1261363994702098,-0.23397472080137593,0.8150046038831598,0.9999963907630119,False
ABI2,749.2997630839078,0.049744327703181136,0.13272906302922838,0.3747809753785944,0.7078233641851954,0.9999963907630119,False
ABI3,38.60733303591354,-0.09851732178912381,0.3612281640037137,-0.27272879472407635,0.7850616985033704,0.9999963907630119,False
ABI3BP,9.460347007784094,0.1270006618767645,0.7208293042127385,0.1761868741108821,0.860147132424785,0.9999963907630119,False
ABL1,1236.7420263234465,0.13314274694354333,0.13093807171417132,1.0168375415989375,0.3092307197325719,0.9999963907630119,False
ABL2,964.8433437685252,-0.19874847553170055,0.15052123149760666,-1.3204016041740976,0.18670096829918015,0.9999963907630119,False
ABLIM2,27.817965643779086,-0.11085442221506261,0.4673942946192594,-0.23717538594553217,0.8125207307551947,0.9999963907630119,False
ABLIM3,21.563696361407136,0.11350243624102048,0.46607561418341853,0.24352794436559588,0.8075964401035796,0.9999963907630119,False
ABR,1956.275236949043,0.05223605343745195,0.1030832557822444,0.5067365503840572,0.6123396812098243,0.9999963907630119,False
ABRACL,1627.2277493045276,-0.0007087578259918727,0.1377132007147138,-0.0051466222723276405,0.9958936076767958,0.9999963907630119,False
ABRAXAS1,89.30962626302697,-0.05622673202215391,0.2526617188725167,-0.2225375979909475,0.8238954079850513,0.9999963907630119,False
ABRAXAS2,404.67712707573986,0.04647939061825081,0.14499892159861819,0.32054990551525414,0.7485515052962033,0.9999963907630119,False
ABT1,389.36930997126586,0.17076829054517428,0.15054335630498025,1.1343462424155144,0.2566493390972119,0.9999963907630119,False
ABTB1,59.73699860842149,-0.08850760402637585,0.3084015341909714,-0.28698820924661583,0.7741213483296023,0.9999963907630119,False
